"","x"
"1",3473
"2",275
"3",287
"4",298
"5",332
"6",352
"7",369
"8",532
"9",679
"10",684
"11",700
"12",3081
"13",860
"14",982
"15",1153
"16",3138
"17",1447
"18",3452
"19",1448
"20",1520
"21",3455
"22",1524
"23",1548
"24",3468
"25",1639
"26",3781
"27",1735
"28",3488
"29",1757
"30",3492
"31",1786
"32",3541
"33",3558
"34",1966
"35",2011
"36",2053
"37",2290
"38",2314
"39",2318
"40",2586
"41",2638
"42",2888
"43",2961
"44",3031
"45",3032
"46",3035
"47",3047
"48",15682
"49",13029
"50",13032
"51",13051
"52",13097
"53",14410
"54",14889
"55",15281
"56",15302
"57",15309
"58",15740
"59",15919
"60",15922
"61",15925
"62",15965
"63",16129
"64",17304
"65",17396
"66",17404
"67",17406
"68",19834
"69",20397
"70",1004
"71",1151
"72",1665
"73",3784
"74",3788
"75",2607
"76",3831
"77",3837
"78",15403
"79",490
"80",1133
"81",2919
"82",2947
"83",3563
"84",15244
"85",19937
