"","name","ID","sigma","beta"
"1","Disterhaft Farm Bog",1,0.12,1
"2","Disterhaft Farm Bog",2,0.12,2
"3","Disterhaft Farm Bog",3,0.12,3
"4","Disterhaft Farm Bog",4,0.12,4
"5","Disterhaft Farm Bog",5,0.12,5
"6","Disterhaft Farm Bog",6,0.12,6
"7","Disterhaft Farm Bog",7,0.12,7
"8","Disterhaft Farm Bog",8,0.12,8
"9","Disterhaft Farm Bog",9,0.12,9
"10","Disterhaft Farm Bog",10,0.12,10
"11","Disterhaft Farm Bog",11,0.12,11
"12","Disterhaft Farm Bog",12,0.12,12
"13","Disterhaft Farm Bog",13,0.12,13
"14","Disterhaft Farm Bog",14,0.12,14
"15","Disterhaft Farm Bog",15,0.12,15
"16","Disterhaft Farm Bog",16,0.12,16
"17","Disterhaft Farm Bog",17,0.12,17
"18","Disterhaft Farm Bog",1,0.12,18
"19","Disterhaft Farm Bog",2,0.12,19
"20","Disterhaft Farm Bog",3,0.12,20
"21","Hansen Marsh",4,0.12,1
"22","Hansen Marsh",5,0.12,2
"23","Hansen Marsh",6,0.12,3
"24","Hansen Marsh",7,0.12,4
"25","Hansen Marsh",8,0.12,5
"26","Hansen Marsh",9,0.12,6
"27","Hansen Marsh",10,0.12,7
"28","Hansen Marsh",11,0.12,8
"29","Hansen Marsh",12,0.12,9
"30","Hansen Marsh",13,0.12,10
"31","Hansen Marsh",14,0.12,11
"32","Hansen Marsh",15,0.12,12
"33","Hansen Marsh",16,0.12,13
"34","Hansen Marsh",17,0.12,14
"35","Hansen Marsh",1,0.12,15
"36","Hansen Marsh",2,0.12,16
"37","Hansen Marsh",3,0.12,17
"38","Hansen Marsh",4,0.12,18
"39","Hansen Marsh",5,0.12,19
"40","Hansen Marsh",6,0.12,20
"41","Iola Bog",7,0.12,1
"42","Iola Bog",8,0.12,2
"43","Iola Bog",9,0.12,3
"44","Iola Bog",10,0.12,4
"45","Iola Bog",11,0.12,5
"46","Iola Bog",12,0.12,6
"47","Iola Bog",13,0.12,7
"48","Iola Bog",14,0.12,8
"49","Iola Bog",15,0.12,9
"50","Iola Bog",16,0.12,10
"51","Iola Bog",17,0.12,11
"52","Iola Bog",1,0.12,12
"53","Iola Bog",2,0.12,13
"54","Iola Bog",3,0.12,14
"55","Iola Bog",4,0.12,15
"56","Iola Bog",5,0.12,16
"57","Iola Bog",6,0.12,17
"58","Iola Bog",7,0.12,18
"59","Iola Bog",8,0.12,19
"60","Iola Bog",9,0.12,20
"61","Lost Lake",10,0.12,1
"62","Lost Lake",11,0.12,2
"63","Lost Lake",12,0.12,3
"64","Lost Lake",13,0.12,4
"65","Lost Lake",14,0.12,5
"66","Lost Lake",15,0.12,6
"67","Lost Lake",16,0.12,7
"68","Lost Lake",17,0.12,8
"69","Lost Lake",1,0.12,9
"70","Lost Lake",2,0.12,10
"71","Lost Lake",3,0.12,11
"72","Lost Lake",4,0.12,12
"73","Lost Lake",5,0.12,13
"74","Lost Lake",6,0.12,14
"75","Lost Lake",7,0.12,15
"76","Lost Lake",8,0.12,16
"77","Lost Lake",9,0.12,17
"78","Lost Lake",10,0.12,18
"79","Lost Lake",11,0.12,19
"80","Lost Lake",12,0.12,20
"81","Third Lake",13,0.12,1
"82","Third Lake",14,0.12,2
"83","Third Lake",15,0.12,3
"84","Third Lake",16,0.12,4
"85","Third Lake",17,0.12,5
"86","Third Lake",1,0.12,6
"87","Third Lake",2,0.12,7
"88","Third Lake",3,0.12,8
"89","Third Lake",4,0.12,9
"90","Third Lake",5,0.12,10
"91","Third Lake",6,0.12,11
"92","Third Lake",7,0.12,12
"93","Third Lake",8,0.12,13
"94","Third Lake",9,0.12,14
"95","Third Lake",10,0.12,15
"96","Third Lake",11,0.12,16
"97","Third Lake",12,0.12,17
"98","Third Lake",13,0.12,18
"99","Third Lake",14,0.12,19
"100","Third Lake",15,0.12,20
"101","Stone Lake Tamarack Swamp",16,0.12,1
"102","Stone Lake Tamarack Swamp",17,0.12,2
"103","Stone Lake Tamarack Swamp",1,0.12,3
"104","Stone Lake Tamarack Swamp",2,0.12,4
"105","Stone Lake Tamarack Swamp",3,0.12,5
"106","Stone Lake Tamarack Swamp",4,0.12,6
"107","Stone Lake Tamarack Swamp",5,0.12,7
"108","Stone Lake Tamarack Swamp",6,0.12,8
"109","Stone Lake Tamarack Swamp",7,0.12,9
"110","Stone Lake Tamarack Swamp",8,0.12,10
"111","Stone Lake Tamarack Swamp",9,0.12,11
"112","Stone Lake Tamarack Swamp",10,0.12,12
"113","Stone Lake Tamarack Swamp",11,0.12,13
"114","Stone Lake Tamarack Swamp",12,0.12,14
"115","Stone Lake Tamarack Swamp",13,0.12,15
"116","Stone Lake Tamarack Swamp",14,0.12,16
"117","Stone Lake Tamarack Swamp",15,0.12,17
"118","Stone Lake Tamarack Swamp",16,0.12,18
"119","Stone Lake Tamarack Swamp",17,0.12,19
"120","Stone Lake Tamarack Swamp",1,0.12,20
"121","Vestaburg Bog",2,0.12,1
"122","Vestaburg Bog",3,0.12,2
"123","Vestaburg Bog",4,0.12,3
"124","Vestaburg Bog",5,0.12,4
"125","Vestaburg Bog",6,0.12,5
"126","Vestaburg Bog",7,0.12,6
"127","Vestaburg Bog",8,0.12,7
"128","Vestaburg Bog",9,0.12,8
"129","Vestaburg Bog",10,0.12,9
"130","Vestaburg Bog",11,0.12,10
"131","Vestaburg Bog",12,0.12,11
"132","Vestaburg Bog",13,0.12,12
"133","Vestaburg Bog",14,0.12,13
"134","Vestaburg Bog",15,0.12,14
"135","Vestaburg Bog",16,0.12,15
"136","Vestaburg Bog",17,0.12,16
"137","Vestaburg Bog",1,0.12,17
"138","Vestaburg Bog",2,0.12,18
"139","Vestaburg Bog",3,0.12,19
"140","Vestaburg Bog",4,0.12,20
"141","Weber Lake",5,0.12,1
"142","Weber Lake",6,0.12,2
"143","Weber Lake",7,0.12,3
"144","Weber Lake",8,0.12,4
"145","Weber Lake",9,0.12,5
